Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,113,16,16,0,145
Beef Chow Mein,64,10,10,11,73
Shepherd's Pie,78,0,10,52,36
Beef Burrito Bowl,85,16,21,0,122
Beef Meatballs,108,13,7,0,128
Lebanese Beef Stew,0,0,0,0,0
Mongolian Beef,89,12,0,0,101
Chicken with Vegetables,47,17,1,0,65
Chicken with Sweet Potato and Beans,86,0,13,0,99
Naked Chicken Parma,133,22,16,0,171
Chicken Pesto Pasta,117,20,12,30,119
Chicken and Broccoli Pasta,102,0,8,0,110
Butter Chicken,110,11,10,0,131
Thai Green Chicken Curry,87,37,0,0,124
Moroccan Chicken,55,0,9,0,64
Steak with Mushroom Sauce,134,116,10,0,260
Creamy Chicken & Mushroom Gnocchi,77,0,2,0,79
Roasted Lemon Chicken & Potatoes,67,9,14,0,90
Beef Lasagna,164,20,24,0,208
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,90,12,0,0,102
Chicken Fajita Bowl,73,15,0,0,88
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0,0,0
Baked Family Lasagna,4,0,0,0,4
ON Amino Energy Can,0,4,0,0,4
