Product name,Clean Eats,Already Made,Total
Spaghetti Bolognese,27,0,27
Beef Chow Mein,14,0,14
Shepherd's Pie,150,0,150
Beef Burrito Bowl,9,0,9
Beef Meatballs,9,0,9
Lebanese Beef Stew,0,0,0
Mongolian Beef,16,0,16
Chicken with Vegetables,5,0,5
Chicken with Sweet Potato and Beans,0,0,0
Naked Chicken Parma,24,0,24
Chicken Pesto Pasta,23,0,23
Chicken and Broccoli Pasta,14,0,14
Butter Chicken,13,0,13
Thai Green Chicken Curry,17,0,17
Moroccan Chicken,5,0,5
Steak with Mushroom Sauce,2,0,2
Creamy Chicken & Mushroom Gnocchi,7,0,7
Roasted Lemon Chicken & Potatoes,8,0,8
Beef Lasagna,22,0,22
Bean Nachos with Rice,0,0,0
Lamb Souvlaki,3,0,3
Chicken Fajita Bowl,8,0,8
Steak On Its Own,0,0,0
Chicken On Its Own,0,0,0
Family Mac and 3 Cheese Pasta Bake,2,0,2
Baked Family Lasagna,2,0,2
