Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,111,6,14,0,131
Beef Chow Mein,46,9,12,0,67
Shepherd's Pie,58,0,10,0,68
Beef Burrito Bowl,100,10,22,0,132
Beef Meatballs,118,17,14,0,149
Lebanese Beef Stew,0,0,0,0,0
Mongolian Beef,152,12,0,0,164
Chicken with Vegetables,42,5,6,0,53
Chicken with Sweet Potato and Beans,68,0,18,0,86
Naked Chicken Parma,184,12,18,0,214
Chicken Pesto Pasta,127,14,19,0,160
Chicken and Broccoli Pasta,73,0,18,0,91
Butter Chicken,109,11,15,0,135
Thai Green Chicken Curry,82,12,0,0,94
Moroccan Chicken,52,0,15,0,67
Steak with Mushroom Sauce,117,22,13,0,152
Creamy Chicken & Mushroom Gnocchi,82,0,5,0,87
Roasted Lemon Chicken & Potatoes,81,10,16,0,107
Beef Lasagna,221,18,27,0,266
Bean Nachos with Rice,2,0,0,0,2
Lamb Souvlaki,150,6,0,0,156
Chicken Fajita Bowl,53,8,0,0,61
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,1,0,0,0,1
Baked Family Lasagna,6,0,0,0,6
ON Amino Energy Can,0,3,0,0,3
