Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,122,9,19,0,150
Beef Chow Mein,57,7,13,0,77
Shepherd's Pie,55,0,13,0,68
Beef Burrito Bowl,73,13,25,0,111
Beef Meatballs,88,3,10,0,101
Lebanese Beef Stew,42,0,0,0,42
Mongolian Beef,100,21,0,0,121
Chicken with Vegetables,39,19,3,0,61
Chicken with Sweet Potato and Beans,73,0,16,0,89
Naked Chicken Parma,247,16,22,0,285
Chicken Pesto Pasta,92,13,18,0,123
Chicken and Broccoli Pasta,60,0,5,0,65
Butter Chicken,85,16,16,0,117
Thai Green Chicken Curry,68,11,0,0,79
Moroccan Chicken,33,0,13,0,46
Steak with Mushroom Sauce,79,7,19,0,105
Creamy Chicken & Mushroom Gnocchi,56,0,3,0,59
Roasted Lemon Chicken & Potatoes,77,6,18,0,101
Beef Lasagna,571,14,28,0,613
Bean Nachos with Rice,11,0,0,0,11
Lamb Souvlaki,113,2,0,0,115
Chicken Fajita Bowl,178,4,0,0,182
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0,0,0
Baked Family Lasagna,10,0,0,0,10
