Product name,Clean Eats,Already Made,Total
Spaghetti Bolognese,239,0,239
Beef Chow Mein,161,0,161
Shepherd's Pie,133,0,133
Beef Burrito Bowl,137,0,137
Beef Meatballs,201,0,201
Lebanese Beef Stew,0,0,0
Mongolian Beef,219,0,219
Chicken with Vegetables,82,0,82
Chicken with Sweet Potato and Beans,127,0,127
Naked Chicken Parma,275,0,275
Chicken Pesto Pasta,218,0,218
Chicken and Broccoli Pasta,140,0,140
Butter Chicken,183,0,183
Thai Green Chicken Curry,156,0,156
Moroccan Chicken,71,0,71
Steak with Mushroom Sauce,208,0,208
Creamy Chicken & Mushroom Gnocchi,167,0,167
Roasted Lemon Chicken & Potatoes,154,0,154
Beef Lasagna,250,0,250
Bean Nachos with Rice,0,0,0
Lamb Souvlaki,197,0,197
Chicken Fajita Bowl,162,0,162
Steak On Its Own,0,0,0
Chicken On Its Own,0,0,0
Family Mac and 3 Cheese Pasta Bake,7,0,7
Baked Family Lasagna,32,0,32
