Product name,Clean Eats,Already Made,Total
Spaghetti Bolognese,76,0,76
Beef Chow Mein,68,0,68
Shepherd's Pie,56,0,56
Beef Burrito Bowl,56,0,56
Beef Meatballs,82,0,82
Lebanese Beef Stew,0,0,0
Mongolian Beef,106,0,106
Chicken with Vegetables,64,0,64
Chicken with Sweet Potato and Beans,76,0,76
Naked Chicken Parma,126,0,126
Chicken Pesto Pasta,112,0,112
Chicken and Broccoli Pasta,98,0,98
Butter Chicken,92,0,92
Thai Green Chicken Curry,84,0,84
Moroccan Chicken,68,0,68
Steak with Mushroom Sauce,138,0,138
Creamy Chicken & Mushroom Gnocchi,118,0,118
Roasted Lemon Chicken & Potatoes,66,0,66
Beef Lasagna,110,0,110
Bean Nachos with Rice,0,0,0
Lamb Souvlaki,110,0,110
Chicken Fajita Bowl,54,0,54
Steak On Its Own,0,0,0
Chicken On Its Own,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0
Baked Family Lasagna,0,0,0
