Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,94,21,13,0,128
Beef Chow Mein,61,6,11,0,78
Shepherd's Pie,49,0,6,0,55
Beef Burrito Bowl,73,19,24,0,116
Beef Meatballs,99,24,7,0,130
Lebanese Beef Stew,48,0,0,0,48
Mongolian Beef,108,21,0,0,129
Chicken with Vegetables,28,13,0,0,41
Chicken with Sweet Potato and Beans,87,0,8,0,95
Naked Chicken Parma,140,27,16,0,183
Chicken Pesto Pasta,90,19,11,0,120
Chicken and Broccoli Pasta,69,0,10,0,79
Butter Chicken,87,97,11,0,195
Thai Green Chicken Curry,83,25,0,0,108
Moroccan Chicken,41,0,6,0,47
Steak with Mushroom Sauce,76,20,5,0,101
Creamy Chicken & Mushroom Gnocchi,65,0,0,0,65
Roasted Lemon Chicken & Potatoes,72,8,17,0,97
Beef Lasagna,149,10,28,0,187
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,74,31,0,0,105
Chicken Fajita Bowl,69,29,0,0,98
Steak On Its Own,0,1,0,0,1
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0,0,0
Baked Family Lasagna,4,0,0,0,4
