Product name,Clean Eats,Already Made,Total
Spaghetti Bolognese,21,0,21
Beef Chow Mein,6,0,6
Shepherd's Pie,0,0,0
Beef Burrito Bowl,13,0,13
Beef Meatballs,19,0,19
Lebanese Beef Stew,0,0,0
Mongolian Beef,18,0,18
Chicken with Vegetables,18,0,18
Chicken with Sweet Potato and Beans,0,0,0
Naked Chicken Parma,27,0,27
Chicken Pesto Pasta,15,0,15
Chicken and Broccoli Pasta,0,0,0
Butter Chicken,21,0,21
Thai Green Chicken Curry,14,0,14
Moroccan Chicken,0,0,0
Steak with Mushroom Sauce,8,0,8
Creamy Chicken & Mushroom Gnocchi,0,0,0
Roasted Lemon Chicken & Potatoes,14,0,14
Beef Lasagna,34,0,34
Bean Nachos with Rice,0,0,0
Lamb Souvlaki,13,0,13
Chicken Fajita Bowl,7,0,7
Steak On Its Own,1,0,1
Chicken On Its Own,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0
Baked Family Lasagna,0,0,0
