Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,161,11,15,13,174
Beef Chow Mein,65,11,15,0,91
Shepherd's Pie,76,0,12,7,81
Beef Burrito Bowl,88,17,24,0,129
Beef Meatballs,84,22,7,0,113
Lebanese Beef Stew,0,0,0,0,0
Mongolian Beef,158,5,0,40,123
Chicken with Vegetables,48,17,1,0,66
Chicken with Sweet Potato and Beans,67,0,12,0,79
Naked Chicken Parma,200,15,10,0,225
Chicken Pesto Pasta,151,13,11,0,175
Chicken and Broccoli Pasta,104,0,10,0,114
Butter Chicken,140,41,15,0,196
Thai Green Chicken Curry,93,12,0,0,105
Moroccan Chicken,57,0,10,5,62
Steak with Mushroom Sauce,111,6,4,5,116
Creamy Chicken & Mushroom Gnocchi,73,0,9,0,82
Roasted Lemon Chicken & Potatoes,116,1,10,0,127
Beef Lasagna,298,15,23,0,336
Bean Nachos with Rice,12,0,0,5,7
Lamb Souvlaki,138,15,0,19,134
Chicken Fajita Bowl,81,13,0,0,94
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,5,0,0,0,5
Baked Family Lasagna,6,0,0,0,6
ON Amino Energy Can,0,9,0,0,9
